person,person_occ
"gyrdler, r.",none
"style, edm.",none
"stingall, j.",none
"byrche, j.",none
"wells, t.",mercer
"skynner, ric.",none
"thurston, j. , sr.",ww
"cobbold, w.",none
"layer, c.",none
"cory, t. (elder)",none
not listed?,none
"swift, ric.",none
"overton, edm.",none
"betts, j.",none
"hobard, j.",none
"elwyn, j.",none
"sadler, j.",none
"crispe, r.",none
"wigg, w.",none
"shovell, j.",none
"james, ric.",none
"wright, j .",cordwainer
"stingate, j.",none
"balls,  simon",none
"thurston, j.",ww
"hewer, j.",bladesmith
"dingle, r.",none
"hyrne, clement",none
"wood, w.",none
"drury, g.",hatter
"cooke, edm.",none
"rugg, f.",mercer
"thurston, j. , sr.",none
"holl, t. (gent)",none
"tungate, j.",none
"sotherton, n. (younger)",none
"syer, w.",mercer
"snow, anthony",none
"pye, e.",none
"wright, j .",none
"marcon, j.",none
"syer, w.",none
"layer, t.",none
"dingle, r.",ww
"wood, w. (elder)",none
"andrews, j.",none
"pye, e.",ww
"elwyn, j,",none
"debney, j.",none
"quasshe, r.",none
"fisher, james",surgeon
"gleane, t.",none
fayerlyff j.,none
"fayerlyff, j.",none
"cully, t.",none
"steward, t.",none
"collyson, g.",cordwainer
"brerton, j.",none
"bate, ric.",none
"pede, w.",none
"drury, g. (younger)",none
"norgate, t.",none
"thirketill, edm.",none
"butfeld, w.",none
"beare, w.",reeder
"elwyn, j.",tanner
"fisher, james",none
"sparrow, t.",none
"spurling, ric.",none
"drury, g. (elder)",hatter
"brady, edm.",none
"ives, w.",painter
"beenye, walter",none
"stokes, t.",none
"toly, r.",none
"knight, t.",none
"davy, r.",none
"thirketill, edm..",none
"toly, ric. (elder)",scrivener
"toly, ric.  (elder)",scrivener
"cryckmay, j. (younger)",none
"sotherton, ric. (younger)",none
"elwyn, j,",tanner
"king, j.",none
"couley, r.",none
"gurney, j.",none
"peterson, peter",none
"morley, f.",none
"drury, g. (elder)",none
"tewsday, j.",none
"macon, j.",none
"thurston, ric.",none
"davy, stephen",tanner
"brady, t.",none
"butts, j.",none
"ives, w.",none
"jackson, ric.",none
"blyth, t.",none
"stevenson, ralph",none
"thyrketill, edm.",none
"elwyn, w.",tanner
"goodwyn, james",none
"palling, edm.",none
tooke. r.,none
"toly, ric. (elder)",none
"toly, ric.  (elder)",none
"cobb, j.",none
"barker, peter",scrivener
"style, anthony",none
"toly, ric. sr.",scrivener
"barrett, c.",none
"cory, t. (elder)",baker
"cory, t., (senior)",baker
"davy, stephen",coverlet
"roke, r.",glasier
"youngs, peter",pewterer
"thyrketill, j.",none
"morley, f.",calendrer
"elwyn, w.",none
"harryson, t.",ww
s,none
"surrey, n.",none
"flower, r.",none
"cocke, r.",none
"sylver, j.",none
"norgate, t. jr.",none
"barker, j.",none
"kemp, r.",none
"toly, ric. sr.",none
"davy,  r.",grocer
"davy, stephen",none
"ferrour, t. (senior)",draper
"ferrour, t. (elder)",draper
"pykerell, t.",none
"blome, w.",none
"howse, ric.",tanner
"roke, r.",none
"goslyng, r.",collar-maker
"glover, osmond",none
"king, j. (elder)",dornix
"rochester, w.",none
"day, j.",butcher
"brown, t.",none
"gybson, r.",none
"sellers, t.",none
"green, r.",mason
"norgate, t. (junior)",none
"rugge, f.",none
"springold, r.",none
"bennett, r.",glover
"cooke, ric.",none
"dannock, n.",none
"mayor, r.",none
"brerton, cuthbert",mercer
"davy,  r.",none
"ferrour, t. (senior)",none
"ferrour, t. (elder)",none
"king, j. (elder)",none
"brown, w.",none
"tewsday, j. (eld.)",none
stedde. w.,none
"sotherton, j. jr.",none
"golding, r.",none
"sotherton, n. (junior)",none
"wylkynson/wilkynson, j.",none
"sheparde, n.",none
"green, r.",none
"hast, roger",none
"bennett, r.",none
"green, j.",none
"brewster, edm.",smith
"narford, t.",none
"mayor, r.",cordwainer
"denny, e.",mercer
"sayve, t.",none
"tronyn als cryckmay, j.",none
"plumber, matthew",none
"brende, w.",bladesmith
"bulward, j.",grocer
"baker, r.",ww
"secker, t.",none
"stephanson, r.",none
"blackborne, r.",grocer
"collerd, r.",none
"wilkinson, e.",none
"bengemyn, j.",none
"wharlowe, t.",none
"bush, w.",none
"hayles, w.",none
"swanton, t.",none
___ grace?,none
"hinderson, r.",tailor
"rasshe, w.",none
"sotherton, leonard",none
"brygges, t.",none
"fletcher, e.",none
"webster, p.",none
"sandringham, w.",none
"esod, r.",none
"brerton, w.",cordwainer
"foxe, j.",cordwainer
"sotherton, j. (of st. andrew’s)",none
"grey, t.",none
"bates, e.",none
"borne, allen",fletcher
"berne als. derne, j.",none
"baker, j.",none
"petyt,  simon",none
"esod, r.",tanner
"brerton, w.",none
"sewall, j.",none
"pettus, t.",hardwareman
"spurling, ric.",carpenter
"mapes, j.",draper
"seyve, t.",coverlet/dornix
"borne, allen",none
"walden, g.",apothecary
"leek, roger",none
"some, c.",dornix
"peckover, j.",none
"lawrence, t.",bellfounder
"carter, h.",carter
"richman, j.",none
"davy, n.",none
"seyve, t.",none
"layer, t.",grocer
"cock, j.",none
"booker, j.",none
"bryell als. tebbold, j.",none
"walworth, j.",none
"quasshe, jerome",fishmonger
"basingham, j.",none
"stowe, t.",calendrer
"davy, n.",keelman
"ward, jeffrey",none
"thetford, t.",tailor
"lloyd, r.",mercer
"mychells, edm.",none
"cooke, g.",none
"thurston, j.",cordwainer
"quasshe, jerome",none
"toly,, edm.",none
"narforde, t.",none
"cook, j.",none
"smyth, _____",none
"cully, t.",grocer
stevenson r.,grocer
"manne, n.",none
"holl, edm.",none
"coke, j.",none
"sotherton, j. senior",none
"revell, j.",none
"watson, ric.",tailor
"saborne, r.",none
bate. ellis,none
"green, n.",none
"bengemyn, j. (elder)",none
"michells, edm.",none
"byrche, j. (junior)",none
"toly, r.",butcher
"hast, t.",none
"watson, ric.",none
"elsey, t.",none
"wood, w.",hatter
?,none
"seyve, j.",none
"sotherton, j., jr.",none
"dethyck, t.",none
"lawremce, r.",none
"aldrich, w.",none
"holl, h.",none
"fryer, ric.",none
"waller, j.",none
"thetford, t.",none
"booth, james",none
"weg, w.",none
"smith, ric.",haberdasher
"howse, ric.",turner
"hilde, j.",none
"cooke, edm.",turner
"sotherton,j. (elder)",none
"cryckemay, j.",none
"fellow, j.",none
"balls, j.",tailor
"stamage, r.",none
"howson, j.",none
"fellow, j., gent.",none
"toly, r.",scrivener
"deynes, w.",none
"smyth, ric.",tailor
"andrews, r.",none
"cooke,, j.",none
"clyfford, j.",none
"berforth, r.",ye
"sotherton, n., jr.",grocer
"quasshe, andrew",none
"gant, ric.",none
"cryckmay, j.",none
"hook, r.",none
"francis, t.",none
"stedde, w.",mercer
"bowde,  simon",none
"cook, edm.",tanner
"barforth, r.",none
"lawes, ric.",none
"sotherton, n., jr.",none
"cryckmayer, j. (younger)",none
"pyckeryng, w.",none
"tesmond, vicent",none
"tuesday, j.",none
"cook, edm.",none
"wallworth, j.",none
"busshell, e.",none
"weld, j.",none
"norrys, titus",none
"blewett, w.",glover
"ward, t.",none
"barker, edm.",none
"austen, c.",none
"page, osbert",sherman
"cory, t.",none
"hemlyng, raynold",none
"calye, j.",none
howse. ric.,none
"smyth, randoll.",none
"ives, r..",none
"larwood, t.",none
"blewett, w.",none
"swift, ric..",none
"baker, edm.",none
"tebold, w.",none
"pede, h,",none
"stedd, w.",none
"johnson, j.",hatter
"pye, j.",none
"goodman, r.",none
"cottwyn, j.",none
"gyggs, j.",none
"lyn, t.",grocer
"smith, g.",none
"ramsey, w..",none
"stanforth, r.",none
"snowe, anthony",none
"tuttoff, charles",none
none,none
"green, r.",cordwainer
"calverley, ric.",none
"brantingham, j.",none
"bulwer, j.",none
"johnson, j.",none
"hall, r.",none
"tompson, r.",none
"castleton, w.",none
"gurnell, j.",none
"hewke, w.",none
"hoke, t.",none
"tuttoff, charles",gent
"wynter, t. (younger)",grocer
"wynter, t. (junior)",grocer
"rochester, t.",none
"narborough, r.",none
"barker, humfrey",glover
"hall, edm.",none
"castelow, michel",none
"tuttoff, charles, gent.",none
"morley, w.",none
"capon, j.",none
"surry, n.",none
"harman, matthew",none
"johnson, r.",hatter
"michell, r.",none
"gigg/gygges, j.",none
"blackborne, r.",none
"barker, humfrey",none
"cotwyn, j.",none
"butler, j.",none
"austen, t.",none
"drury, g. (senior)",hatter
"colwey, r.",none
"whall, augustine",none
"brewster, edm.",none
"bradforth, n.",none
"king, j. (younger)",none
"smyth, randolph",none
"macon, walter",none
"rede, bartholomew",none
"blewet, oswald",none
"padfeld, w.",none
"matthew, w.",none
"norgate, t. (younger)",none
"blythe, t.",none
"wysse, j.",none
"smyth/smith, ric.",none
"dix, r.",none
"anguish, t.",none
"elmeham, ralph",none
"baker, ?",none
"springolde, r.",none
"aldrich, j. (younger)",none
"borrow, edm./boroughe?",none
"lynne, j.",none
"paman, j.",miller
"lambe, lawrence",none
"taylor, n.",none
"elmeham, j.",none
"wylkynson, j.",none
"cocke, ?",none
"skynner, edm.",none
"watts, j.",none
"hethe, r.",none
"newham, w.",none
"thyrketill, j.(jun.)",none
"castlelow, w.",none
"gallyard, h.",none
"hempsted, w.",none
"dix, r.",draper
